Time of the day,Number of hosts up
2020-02-03 11:20:00,43
2020-02-03 11:30:00,49
2020-02-03 11:40:00,50
2020-02-03 11:50:00,50
2020-02-03 12:00:00,51
2020-02-03 12:10:00,51
2020-02-03 12:20:00,51
2020-02-03 12:30:00,53
2020-02-03 12:40:00,56
2020-02-03 12:50:00,53
2020-02-03 13:00:00,52
2020-02-03 13:10:00,54
2020-02-03 13:20:00,54
2020-02-03 13:30:00,52
2020-02-03 13:40:00,50
2020-02-03 13:50:00,55
2020-02-03 14:00:00,54
2020-02-03 14:10:00,53
2020-02-03 14:20:00,53
2020-02-03 14:30:00,55
2020-02-03 14:40:00,53
2020-02-03 14:50:00,52
2020-02-03 15:00:00,48
2020-02-03 15:10:00,51
2020-02-03 15:20:00,50
2020-02-03 15:30:00,49
2020-02-03 15:40:00,51
2020-02-03 15:50:00,48
2020-02-03 16:00:00,43
2020-02-03 16:10:00,44
2020-02-03 16:20:00,45
2020-02-03 16:30:00,46
2020-02-03 16:40:00,45
2020-02-03 16:50:00,43
2020-02-03 17:00:00,38
2020-02-03 17:10:00,40
2020-02-03 17:20:00,39
2020-02-03 17:30:00,40
2020-02-03 17:40:00,40
2020-02-03 17:50:00,44
2020-02-03 18:00:00,55
2020-02-03 18:10:00,54
2020-02-03 18:20:00,57
2020-02-03 18:30:00,61
2020-02-03 18:40:00,62
2020-02-03 18:50:00,62
2020-02-03 19:00:00,61
2020-02-03 19:10:00,62
2020-02-03 19:20:00,65
2020-02-03 19:30:00,67
2020-02-03 19:40:00,69
2020-02-03 19:50:00,74
2020-02-03 20:00:00,71
2020-02-03 20:10:00,71
2020-02-03 20:20:00,71
2020-02-03 20:30:00,70
2020-02-03 20:40:00,73
2020-02-03 20:50:00,70
2020-02-03 21:00:00,65
2020-02-03 21:10:00,68
2020-02-03 21:20:00,73
2020-02-03 21:30:00,73
2020-02-03 21:40:00,74
2020-02-03 21:50:00,78
2020-02-03 22:00:00,83
2020-02-03 22:10:00,85
2020-02-03 22:20:00,84
2020-02-03 22:30:00,87
2020-02-03 22:40:00,86
2020-02-03 22:50:00,86
2020-02-03 23:00:00,88
2020-02-03 23:10:00,87
2020-02-03 23:20:00,85
2020-02-03 23:30:00,83
2020-02-03 23:40:00,83
2020-02-03 23:50:00,82
2020-02-04 00:00:00,76
2020-02-04 00:10:00,75
2020-02-04 00:20:00,76
2020-02-04 00:30:00,77
2020-02-04 00:40:00,76
2020-02-04 00:50:00,71
2020-02-04 01:00:00,72
2020-02-04 01:10:00,71
2020-02-04 01:20:00,74
2020-02-04 01:30:00,71
2020-02-04 01:40:00,71
2020-02-04 01:50:00,67
2020-02-04 02:00:00,66
2020-02-04 02:10:00,62
2020-02-04 02:20:00,60
2020-02-04 02:30:00,58
2020-02-04 02:40:00,55
2020-02-04 02:50:00,54
2020-02-04 03:00:00,53
2020-02-04 03:10:00,49
2020-02-04 03:20:00,50
2020-02-04 03:30:00,50
2020-02-04 03:40:00,51
2020-02-04 03:50:00,50
2020-02-04 04:00:00,50
2020-02-04 04:10:00,49
2020-02-04 04:20:00,49
2020-02-04 04:30:00,47
2020-02-04 04:40:00,46
2020-02-04 04:50:00,46
2020-02-04 05:00:00,44
2020-02-04 05:10:00,44
2020-02-04 05:20:00,41
2020-02-04 05:30:00,41
2020-02-04 05:40:00,41
2020-02-04 05:50:00,43
2020-02-04 06:00:00,42
2020-02-04 06:10:00,42
2020-02-04 06:20:00,42
2020-02-04 06:30:00,42
2020-02-04 06:40:00,43
2020-02-04 06:50:00,43
2020-02-04 07:00:00,45
2020-02-04 07:10:00,46
2020-02-04 07:20:00,43
2020-02-04 07:30:00,42
2020-02-04 07:40:00,40
2020-02-04 07:50:00,44
2020-02-04 08:00:00,44
